	A1004	Arecibo 	Arecibo Observatory
	37139	Ondokuz Mayis U	Ondokuz Mayis University
	37265	SDM	Sri Dharmasthala Manjunatheshwara College of Engineering
	37268	IIT Madras	Indian Institute of Technology, Madras
	37442	U Szeged	University of Szeged
37442	A1346	U Szeged Ast Obs	University of Szeged, Astronomical Observatory
37442	A1347	Baja Ast Obs	Baja Astronomical Observatory, Hungary
	37447	U Malaya	University of Malaya
	37449	U Putra	University of Putra, Malaysia
	37502	Akdeniz U	Akdeniz University
37502	A1424	Turkish Natl Obs	Turkish National Observatory
	37503	Ataturk U	Ataturk University
	37504	Ankara U	Ankara University
37504	A1423	Ankara U Dep Ast	Ankara University, Department of Astronomy
	37505	Baskent U	Baskent University
	37506	Cukurova U	Cukurova University
	37507	Dicle U	Dicle University
	37508	Dokuz Eylul U	Dokuz Eylul University
	37509	Ege U	Ege University
37509	322579	Ege U Dep Ast Sp Sci	Ege University, Department of Astronomy and Space Sciences
	37510	Firat U	Firat University
	37511	Gazi U	Gazi University
	37512	Gaziantep U	Gaziantep University
	37515	Hacettepe U	Hacettepe University
	37516	Istanbul U	Istanbul University
	37519	Kahramanmaras U	Kahramanmaras University
	37521	Trayka U	Trakya University
	37523	Uludag U	Uludag University
	37546	Tartu U	Tartu University
	37551	Shiraz U	Shiraz University, Iran
	37563	U Malta	University of Malta
	37568	Lagos St U	Lagos State University, Nigeria
	37589	IVIC	Venezuelan Institute for Scientific Research
	37595	U Zimbabwe	University of Zimbabwe
	37597	U Brunei	University of Brunei
	37599	U Debrecen	University of Debrecen
37599	A1345	MTA Atomki	MTA Atomki, Hungary
	37602	Addis Ababa U	Addis Ababa University, Ethiopia
	37603	Kuwait U	Kuwait University
	37607	Lebanese Amer U	Lebanese American University
	37611	Sultan Qaboos U	Sultan Qaboos University, Oman
	37624	U Rijeka	University of Rijeka
	37631	U Zagreb	University of Zagreb
37631	124259	U Zagreb Dep Phy	University of Zagreb, Department of Physics
37631	A1337	U Zagreb Hvar Obs	University of Zagreb, Hvar Observatory
	37637	Semmelweis U	Semmelweis University
	37656	U Pecs	University of Pecs
	37663	U Ljubljana	University of Ljubljana
37663	172465	U Ljubljana Fac Math Phy	University of Ljubljana, Facutly of Mathematics and Physics
37663	61790	IJS	Jozef Stefan Institute, Ljubljana
37663	A1340	U Ljubljana Ctr Excel SPACE SI	University of Ljubljana, Center of Excellence SPACE SI
	37698	Thammasat U	Thammasat University, Bangkok
	37702	U Free St	University of the Free State
	37707	U Witwatersrand	University of the Witwatersrand
37707	196583	U Witwatersrand Sch Geos	University of the Witwatersrand, School of Geosciences
37707	A1691	U Witwatersrand Sch Phy	University of the Witwatersrand, School of Physics
	37716	U Cape Town	University of Cape Town
37716	124263	U Cape Town Dep Geo Sci	University of Cape Town, Department of Geological Sciences
37716	274458	S African Env Obs Network	South African Environmental Observation Network
37716	A1686	U Cape Town Ast Cosmo Grav Ctr	University of Cape Town, Astronomy Cosmology and Gravitation Centre
37716	A1687	U Cape Town Dep Ast	University of Cape Town, Department of Astronomy
37716	A1688	U Cape Town Dep Phy	University of Cape Town, Department of Physics
	37740	Charles U	Charles University, Prague
37740	138735	Charles U Dep Phy	Charles University, Department of Physics
37740	A1359	Charles U Ast Inst	Charles University, Astronomical Institute
37740	A3041	Charles U Inst Geop	Charles University, Institute of Geophysics
	37748	Masaryk U	Masaryk University
37748	A1364	Masaryk U Dep Phy Astrop	Masaryk University, Department of Physics and Astrophysics
	37777	U Crete	University of Crete
37777	A1432	U Crete Dep Phy	University of Crete, Department of Physics
	37782	Aristotle U Thessaloniki	Aristotle University of Thessaloniki
37782	162236	U Thessaloniki Dep Phy	Aristotle University of Thessaloniki, Department of Physics
37782	A1425	U Thessaloniki Dep Ast	Aristotle University of Thessaloniki, Department of Astronomy
	37786	U Thessaly	University of Thessaly, Greece
	37791	U Thrace	University of Thrace, Greece
	37795	U Patras	University of Patras, Greece
37795	A1431	U Patras Dep Phy Ast	University of Patras, Department of Physics and Astronomy
	37796	U Ioannina	University of Ioannina, Greece
37796	328103	U Ioannina Dep Phy	University of Ioannina, Department of Physics
	37799	Jagiellonian U	Jagiellonian University, Krakow
37799	A1370	Jagiellonian U Ast Obs	Jagiellonian University, Astronomical Observatory
	37803	Med U Warsaw	Medical University of Warsaw
	37809	U Lisbon	University of Lisbon
37809	111162	U Lisbon Astrop Inst	University of Lisbon, Astrophysical Institute
37809	198829	U Lisbon IDL	University of Lisbon, Institute Dom Luiz
37809	325982	IPFN	Lisbon Institute of Plasma and Nuclear Fusion
37809	72971	U Lisbon IST	University of Lisbon, Instituto Superior Tecnico
37809	A1278	U Lisbon Dep Phy	University of Lisbon, Department of Physics
	37829	U Coimbra	University of Coimbra
37829	166402	U Coimbra Dep Phy	University of Coimbra, Department of Physics
37829	A1282	U Coimbra Geop Ast Obs	University of Coimbra, Geophysical and Astronomical Observatory
	37848	King Abdulaziz U	King Abdulaziz University, Saudi Arabia
37848	A1520	King Abdulaziz U Dep Ast	King Abdulaziz University, Department of Astronomy
	37850	King Saud U	King Saud University, Saudi Arabia
	37862	Pavel Jozef Safarik U	Pavel Jozef Safarik University
	37864	Comenius U	Comenius University, Bratislava
37864	132058	Comenius U Ast Inst	Comenius University, Bratislava, Astronomical Institute
	37892	Fed U Maranhao	Federal University of Maranhao, Brazil
	37894	St U Londrina	State University of Londrina, Brazil
	37955	Mentouri U Constantine	Mentouri University of Constantine, Algeria
	37957	U des Antilles Guyane	Universite des Antilles et de la Guyane
	37961	U Sousse	University of Sousse, Tunisia
	37964	U Tunis El Manar	University of Tunis El Manar, Tunisia
	37966	U Monastir	University of Monastir, Tunisia
	37967	U Sfax	University of Sfax, Tunisia
	37969	Soonchunhyang U	Soonchunhyang University, Korea
	37975	Daegu U	Daegu University, Korea
	37976	Keimyung U	Keimyung University, Korea
	37981	Catholic U Daegu	Catholic University of Daegu, Korea
	38017	Acad Sinica Taiwan	Academia Sinica, Taiwan
38017	111184	Inst Ast Astrop Acad Sinica HI	Institute of Astronomy and Astrophysics Academia Sinica, Hawaii
38017	71511	Acad Sinica Inst Phy Taiwan	Academia Sinica, Institute of Physics, Taiwan
38017	71553	Acad Sinica Inst Earth Sci Taiwan	Academia Sinica, Institute of Earth Sciences, Taiwan
38017	71556	Acad Sinica Inst Atom Mol Sci Taiwan	Academia Sinica, Institute of Atomic and Molecular Sciences, Taiwan
	38019	China Med U Taiwan	China Medical University, Taiwan
	38041	China Inst Atom En	China Institute of Atomic Energy
	38043	Yangzhou U	Yangzhou University, China
	38080	Kanagawa Pref Nursing Coll	Kanagawa Prefectural Nursing College, Japan
	38146	Yamanashi U	Yamanashi University, Japan
	38284	Kanagawa U Human Svc	Kanagawa University of Human Services, Japan
	38291	Aichi Shukutoku U	Aichi Shukutoku University, Japan
	38710	Aragon	Aragon Government, Department of Agriculture and Food
	38869	TU Chemnitz	Technical University of Chemnitz
	38871	Brandenburg U Tech	Brandenburg University of Technology
	38899	U Koblenz-Landau	University of Koblenz-Landau
	38918	U Appl Sci Neubrandenburg	University of Applied Sciences Neubrandenburg
	38950	TU Wildau	Technical University of Wildau
	38963	TU Beuth	Beuth Technical University of Applied Sciences, Berlin
	38987	TU Hamburg	Technical University of Hamburg
	39007	Munich U App Sci	Munich University of Applied Sciences
	39027	BGR Fed Inst Geos Nat Res	Federal Institute for Geosciences and Natural Resources
	39030	BMBF	Bundesministerium fur Bildung und Forschung Dienststelle
	39142	EADS Astrium	European Aeronautic Defence and Space Company Ltd
	39174	Ericsson AB	Ericsson AB, Stockholm
	39428	PTB Natl Metro Inst Germany	PTB, National Metrology Institute of Germany
	39985	Berlin Acad Sci	Berlin Academy of Sciences
	40073	Gottingen Acad Sci	Gottingen Academy of Sciences
	40092	Heidelberg Inst Theo Stud	Heidelberg Institute for Theoretical Studies
	40108	Bav Acad Sci	Bavarian Academy of Sciences
	40242	TU Hannover	Technical University of Hannover
40737	102695	Cold Reg Res Eng Lab	Cold Regions Research and Engineering Laboratory
	40742	Lowell Obs	Lowell Observatory
	40743	AURA	Association of Universities for Research in Astronomy
40743	230211	Gemini Obs	Gemini Observatory
40743	41574	Natl Solar Obs	National Solar Observatory
40743	53468	NOAO	National Optical Astronomy Observatory
40743	A1228	Las Cumbres Obs Global Tele	Las Cumbres Observatory Global Telescope
	40975	Dakota St U	Dakota State University
	41327	Dixie St U	Dixie State University
41487	A1049	Hurlbut Ctr Sp Res	E.O. Hurlbut Center for Space Research, NRL
	41530	STScI	Space Telescope Science Institute
	41573	NRAO	National Radio Astronomy Observatory
41573	124318	NRAO Mauna Kea	National Radio Astronomy Observatory, Mauna Kea
41573	261206	NRAO Green Bank	National Radio Astronomy Observatory, Green Bank
41573	273889	NRAO Tucson	National Radio Astronomy Observatory, Tucson
41573	53945	NRAO Socorro	National Radio Astronomy Observatory, Socorro
41573	A1052	ALMA Chile	ALMA Science Center, Chile
	41590	Kutztown U Penn	Kutztown University of Pennsylvania
	41616	Tarbiat Modares U	Tarbiat Modares University, Iran
	41652	INOCAR	Instituto Oceanografico de la Armada, Ecuador
41819	381654	British Geo Surv Edinburgh	British Geological Survey, Edinburgh
	41822	British Natl Sp Ctr	British National Space Center
	42019	Mar Biol Ass UK	Marine Biological Association, UK
	42220	BGR Mat Res Test	Bundesanstalt fur Materialforschung und -prufung, Berlin
	42475	Brazilian Mnstry Sci Tech Innovation	Brazilian Ministry of Sciences, Technology and Innovation
42475	42476	LNLS	Brazilian Synchrotron Light Laboratory
42475	42493	LNCC	Brazilian National Laboratory of Scientific Computing
42475	42497	Mus Ast Rel Sci	Museum of Astronomy and Related Sciences, Rio de Janeiro
42475	42505	Natl Ast Obs Brazil	National Astronomy Observatory, Brazil
42475	54540	INPE	Brazilian National Institute for Space Research
42475	74350	CBPF	Brazilian Center for Physics Research
	42477	Lutheran U Brazil	Lutheran University of Brazil
	42487	St U Maringa	State University of Maringa, Brazil
	42502	IMPA	Instituto Nacional de Matematica Pura e Aplicada, Brazil
	42521	Brazilian Mnstry Educ	Brazilian Ministry of Education
	42524	Mackenzie Presbyterian U	Mackenzie Presbyterian University, Brazil
42524	A1718	CRAAM	Center for Radio Astronomy and Astrophysics
	42534	Ctr Ast Res Venezuela	Center of Astronomical Research, Venezuela
	42578	Mexican Inst Water Tech	Mexican Institute of Water Technology
	42592	Mexican Inst Petro	Mexican Institute of Petroleum
	42622	CENAM	Centro Nacional de Metrolog&#237;a, Mexico
	42651	INTA	Instituto Nacional de Tecnolog&#237;a Agropecuari, Argentina
	42659	CNEA Argentina	National Atomic Energy Commission, Argentina
42659	42661	Tandar Lab	Tandar Laboratory
42659	A3042	ITeDA	Institute of Detection and Astroparticle Technologies, Argentina
	42662	INTI	Instituto Nacional de Tecnologia Industria, Argentina
	42690	INGEMMET	Institute of Geology, Minerals and Metallurgy
	42692	Pont Catholic U Peru	Pontifical Catholic University of Peru
	42715	Open U Israel	Open University of Israel
	42730	Jerusalem Coll Tech	Jerusalem College of Technology
	42749	U West	University West, Trollhatten, Sweden
	42763	Swedish Mus Nat Hist	Swedish Museum of Natural History
	42786	Battelle Mem Inst	Battelle Memorial Institute
	47483	Guangdong U Tech	Guangdong University of Technology, China
	47485	Guangzhou U	Guangzhou University, China
	47743	Kochi U Tech	Kochi University of Technology, Japan
	47745	Shibaura Inst Tech	Shibaura Institute of Technology, Japan
	47761	Al Akhawayn U Ifrane	Al Akhawayn University in Ifrane, Morocco
	47767	Amer U Sharjah	American University of Sharjah, UAE
	47797	Cen Euro U	Central European University
47797	72310	Collegium Budapest	Collegium Budapest
	47819	Changchun U Sci Tech	Changchun University of Science and Technology, China
	47821	Northeast Norm U	Northeast Normal University, China
	47822	Harbin Inst Tech	Harbin Institute of Technology, China
	47825	Jilin Norm U	Jilin Normal University, China
	47829	Beijing Jiaotong U	Beijing Jiaotong University, China
	47832	Beijing U Chem Tech	Beijing University of Chemical Technology
	47833	Beijing Inst Tech	Beijing Institute of Technology
	47836	Beijing Norm U	Beijing Normal University
	47840	N China Elec Pwr U	North China Electric Power University
	47842	Shanxi Norm U	Shanxi Normal University, China
	47846	Taiyuan U Tech	Taiyuan University of Technology, China
	47852	Anhui U Tech	Anhui University of Technology, China
	47854	Nanjing U Aero Astnau	Nanjing University of Aeronautics and Astronautics, China
	47856	Shandong Norm U	Shandong Normal University, China
	47860	E China U Sci Tech Shanghai	East China University of Science and Technology, Shanghai
	47861	Nanchang U	Nanchang University, China
	47862	Ningbo U	Ningbo University, China
	47863	Shanghai U Sci Tech	Shanghai University for Science and Technology, China
	47867	Panyu Poly	Panyu Polytechnic, China
	47877	Guangdong Indus Tech Coll	Guangdong Industry Technical College, China
	47887	Qiongzhou U	Qiongzhou University, China
	47890	Shenzhen U	Shenzhen University, China
	47895	Huazhong Agr U	Huazhong Agriculture University, China
	47896	Hubei U Tech	Hubei University of Technology, China
	47897	Yangtze U	Yangtze University, China
	47900	Wuhan U Sci Tech	Wuhan University of Science and Technology, China
	47905	Xidian U	Xidian University, China
	47907	Xinjiang U	Xinjiang University, China
	47908	Chengdu U Tech	Chengdu University of Technology, China
	47909	Chengdu U Info Tech	Chengdu University of Information Technology, China
	47910	Kunming U Sci Tech	Kunming University of Science and Technology, China
	47912	Chongqing Jiaotong U	Chongqing Jiaotong University, China
	47913	Chongqing U	Chongqing University, China
	48024	Imam Md Ibn Saud Islamic U	Imam Muhammad Ibn Saud Islamic University
	48058	Umm Al-Qura U	Umm Al-Qura University, Saudi Arabia
	48080	King Fahd U Petro Min	King Fahd University of Petroleum and Minerals, Saudi Arabia
	48133	Saudi Geo Surv	Saudi Geological Survey
	48138	U Hail	University of Hail, Saudi Arabia
	48144	King Khalid U	King Khalid University, Saudi Arabia
	48207	Palacky U	Palacky University
	48217	Silesian U Opava	Silesian University, Opava
	48220	CTU Prague	Czech Technical University, Prague
48220	154241	CTU Fac Elec Eng	Czech Technical University Prague, Faculty of Electrical Engineering
48220	156923	CTU Fac Nuc Phy	Czech Technical University Prague, Faculty of Nuclear Sciences and Physical Engineering
	48232	U West Bohemia	University of West Bohemia, Czech Republic
	48250	Czech Geo Surv	Czech Geological Survey
	48271	Bohemian U	Bohemian University
	48274	Brno U Tech	Brno University of Technology
	48278	TU Ostrava	Technical University of Ostrava
48278	A1366	TU Ostrava Obs	Ostrava Observatory
	48282	U Hradec	University of Hradec
	48283	JE Purkyne U	JE Purkyne University
	48311	ASCR	Academy of Sciences of the Czech Republic
48311	48268	ASCR Hydromet Inst	Academy of Sciences of the Czech Republic, Hydrometeorological Institute
48311	86875	ASCR Inst Phy Chem	Academy of Sciences of the Czech Republic, Institute of Physical Chemistry
48311	A1360	ASCR Ast Inst	Academy of Sciences of the Czech Republic, Astronomical Institute
48311	A1361	ASCR Inst Phy	Academy of Sciences of the Czech Republic, Institute of Physics
